ID	NameUA	NameEN	DescriptionUA	DescriptionEN
163	Мобільний код	Mobile code	це тип програмного забезпечення, яке можна передавати між системами (через мережу) і яке також можна виконувати в локальній системі, наприклад на комп'ютері, без явної згоди одержувача. Ось кілька прикладів коду для мобільних пристроїв, які ви можете зустріти: JavaScript, VBScript, Flash-анімації, фільми Shockwave, аплети Java, елементи керування ActiveX і навіть макроси, вбудовані в документи Microsoft Office або Excel.	
164	Моніторинг загроз	Threat monitoring	це процес, під час якого перевірки безпеки та інша інформація в цій категорії збираються, аналізуються та переглядаються, щоб визначити, чи можуть певні події в інформаційній системі загрожувати безпеці системи. Це безперервний процес.	
165	Набір експлойтів	Exploit Kit	це комп'ютерні програми, призначені для пошуку недоліків, слабких місць або помилок у програмних програмах (широко відомих як уразливості) і використання їх для отримання доступу до системи чи мережі. Вони використовуються на перших етапах кібератаки, оскільки вони мають здатність завантажувати шкідливі файли та завантажувати атаковану систему шкідливим кодом після проникнення в неї.	
166	Надійна автентифікація	Strong authentication	це особлива вимога, яка вимагає використання кількох факторів автентифікації з різних категорій і складної технології для перевірки ідентичності суб'єкта. Динамічні паролі, цифрові сертифікати, протоколи та інші елементи автентифікації є частиною жорстких стандартів автентифікації. Це особливо стосується банківських і фінансових послуг, де доступ до облікового запису має бути прив'язаний до реальної особи чи організації.	
167	Належна обачність	Due diligence	змушує організації розробити та впровадити план кібербезпеки, щоб запобігти шахрайству, зловживанням, а також розгорнути засоби їх виявлення, якщо вони трапляються, щоб зберегти конфіденційні бізнес-дані.	
168	Наскрізна безпека	End-to-End Security	це спосіб забезпечення безпеки даних, які передаються через інформаційну систему, від точки відправлення до точки призначення.	
169	Наскрізне шифрування	End-to-End Encryption	це процес, який передбачає використання шифрування зв'язку, щоб зробити інформацію недоступною для третіх сторін. Під час передачі через мережу інформація буде доступна лише для відправника та одержувача, не дозволяючи провайдерам Інтернету або постачальникам послуг додатків виявити або підробити вміст повідомлення.	
170	Не відмова	Non-Repudiation	стосується здатності системи довести, що певний користувач (і тільки цей користувач) надіслав повідомлення, і що повідомлення жодним чином не було змінено.	
171	Несанкціонований доступ	Unauthorized access	означає, що хтось незаконно отримав доступ до захищеної чи конфіденційної інформації без дозволу.	
172	Несанкціоноване розголошення	Unauthorized disclosure	трапляється, коли конфіденційна приватна інформація передається або розкривається сторонам, які не мають доступу до даних.	
173	Нейтрино	Neutrino	це відомий набір експлойтів, який постійно розвивався з моменту його появи в 2013 році. Цей набір експлойтів став популярним завдяки своїм зручним функціям і низьким бар'єрам для входу до нього. Neutrino містить зручну панель керування, безперервний моніторинг рівня виявлення антивірусу, можливості викрадання інформації, рекомендації щодо використання експлойтів тощо. Neutrino — це інструмент, який часто використовують для компрометації комп'ютерів і розповсюдження різних типів зловмисного програмного забезпечення, і сам він розповсюджується через рекламні кампанії та веб-ін'єкти. Neutrino також доступний через модель набору експлойтів як послуги, де зловмисники можуть орендувати набір експлойтів і збільшити свої прибутки з меншими інвестиціями.	
174	Ненавмисне розголошення	Inadvertent disclosure	це тип інциденту безпеки, який передбачає випадкове відкриття інформації особі, яка не має доступу до цих даних.	
175	Низький вплив	Low Impact	це рівень впливу кіберзагрози або кібератаки на організацію показує, що може бути втрата конфіденційності, цілісності або доступності, але з обмеженими наслідками. Це включає в себе зменшення можливостей організації, зберігаючи здатність функціонувати, а також інші незначні збитки, фінансові втрати або шкоду для людей.	
176	Номеронабирач	Dialer	це шпигунський пристрій або програма, яка використовується для зловмисного перенаправлення онлайн-спілкування. Таке програмне забезпечення розриває законне телефонне з'єднання та знову підключається до номеру з преміум-тарифом, що призводить до того, що користувач отримує дорогий рахунок за телефон. Зазвичай він сам встановлюється в системі користувача.	
177	Набір Nuclear Exploit Kit	Nuclear Exploit Kit	це високоефективний набір експлойтів, який з'явився в 2010 році і дав кіберзлочинцям можливість використовувати широкий спектр уразливостей програмного забезпечення в таких програмах, як Flash, Silverlight, програма для читання PDF, Internet Explorer тощо. Поліморфний за своєю природою, Nuclear за ці роки перетворився на сумнозвісний інструмент, який використовується для запуску атак Zero Day, розповсюдження програм-вимагачів або операцій з вилучення даних. Ядерні засоби часто використовувалися для великих компрометацій і давали зловмисникам можливість налаштовувати свої атаки на конкретні місця та комп'ютерні конфігурації. Цей набір експлойтів, що постійно розвивається, містить різні тактики обфускації, щоб уникнути виявлення традиційними антивірусними та антишкідливими рішеннями.	
178	Нульовий день (Атаки Zero Day)	Zero Day (Zero Hour)	це атаки, які використовують уразливості в комп'ютерному програмному забезпеченні, які виявили кіберзлочинці, а виробники програмного забезпечення не виправили (оскільки вони не знали про існування цих уразливостей). Цим часто користуються кіберзловмисники до того, як про них дізнаються програмне забезпечення або компанії, що займаються охороною. Іноді Zero Days виявляють постачальники засобів безпеки або дослідники та зберігають конфіденційність, доки компанія не виправить уразливості.	
179	Нюхач	Sniffer	це інструмент, який використовується для моніторингу трафіку в мережі. Його можна використовувати законно для виявлення проблем із потоком даних. Але його також можуть використовувати зловмисники для збору даних, які передаються через мережу.	
180	Обліковий запис адміністратора	Administrative Account	це обліковий запис із високим рівнем доступу, який може робити більше, ніж звичайний користувач. Системні адміністратори використовують їх для перенастроювання систем, створення та видалення звичайних облікових записів користувачів тощо.	
181	Обмін інформацією	Information Sharing	це режим, у якому системи та люди обмінюються інформацією відповідно до конфігурації прав доступу систем.	
182	Обнулення	Zeroisation	це багаторазове перезаписування даних на диску чи стрічці, щоб зробити їх нечитабельними, виходячи з того, що видалення файлу в більшості операційних систем зазвичай просто видаляє прямий запис, але залишає вміст файлу на диску. На магнітних дисках допуск на точність головки читання/запису на диску такий, що спроба перезаписати елемент один раз може дещо відхилятися від точної точки, у якій розташовані дані, тому обнулення магнітних дисків передбачає запис кожного елемента кілька разів, щоб досягти високої ймовірності перезапису точного розташування.	
183	Обфускація	Obfuscation	це тактика, яка використовується для того, щоб зробити комп'ютерний код незрозумілим  щоб люди або певні програми безпеки (наприклад, традиційний антивірус) не могли його зрозуміти. Використовуючи обфусцований код, кіберзлочинці ускладнюють фахівцям з кібербезпеки читання, аналіз і зворотне проектування зловмисного програмного забезпечення, заважаючи їм знайти спосіб заблокувати зловмисне програмне забезпечення та придушити загрозу.	
184	Одноразова панель	One Time Pad	це паперовий блокнот із ключами шифрування, на якому кожен ключ відрізняється від наступного та де немає помітного шаблону для різних ключів. Відправник і одержувач повинні мати однакові одноразові блокноти, щоб одержувач міг розшифрувати повідомлення. Один із найбезпечніших підходів до алгоритму шифрування, якщо ніхто не зможе скопіювати One Time Pad.	
185	Операція Товар	Operation Tovar	це міжнародна спільна діяльність правоохоронних органів і приватних охоронних компаній з багатьох країн. Основною метою операції було знищення ботнету Zeus GameOver, який, імовірно, використовувався для розповсюдження програми-вимагача CryptoLocker. Heimdal Security також брала участь у цих зусиллях разом із Міністерством юстиції США, Європолом, ФБР, Microsoft, Symantec, Sophos, Trend Micro та іншими.	
186	Отруєння кешу DNS	DNS cache poisoning (DNS spoofing)	це метод, який використовують онлайн-злочинці для здійснення онлайн-атак. Цей метод передбачає модифікацію системи доменних імен, що призводить до повернення неправильної IP-адреси. Мета — перенаправити трафік на шкідливий сервер, який контролюється хакерами. Ось чому DNS вважається отруєним, і влада повинна його зняти.	
187	Оцінка загрози	Threat assessment	під час оцінки кіберзагрози організації класифікуються за типами, щоб ними було легше керувати, визначати пріоритети та пом'якшувати їх.	
188	Оцінка ризику	Risk assessment	це процес аналізу ризиків, який визначає ризики кібербезпеки організації та їхній потенційний вплив. Тоді заходи безпеки підбираються відповідно до важливості та потенційного впливу ризиків, виявлених у результаті оцінки ризиків.	
189	Офлайн атака	Offline Attack	це тип атаки, який може статися, коли зловмиснику вдається отримати доступ до даних за допомогою офлайнових засобів, таких як підслуховування, шляхом проникнення в систему та викрадення конфіденційної інформації або огляду за чиєсь плече та отримання облікових даних для секретних даних.	
190	Паразитарні віруси	Parasitic viruses	це тип вірусу, який здатний асоціювати себе з файлом або вставляти себе у файл. Щоб залишитися непоміченим, цей вірус поверне контроль програмному забезпеченню, яким він заражений. Коли операційна система переглядає інфіковане програмне забезпечення, вона продовжуватиме надавати йому права працювати як зазвичай. Це означає, що вірус зможе скопіювати себе, встановити себе в пам'ять або внести інші шкідливі зміни в заражений ПК. Хоча цей тип вірусу з'явився на початку історії комп'ютерних заражень, зараз він повертається.	
191	Пасивна атака	Passive attack	це вид атаки, під час якої кіберзлочинці намагаються отримати несанкціонований доступ до конфіденційної інформації. Його називають пасивним, оскільки зловмисник лише витягує інформацію, не змінюючи дані, тому його складніше виявити.	
192	Переповнення буфера	Buffer Overflow	відбувається, коли програма або додаток намагається зберегти зайві дані в області тимчасового зберігання (буфері), і ця додаткова інформація переповнюється в інші частини пам'яті комп'ютера. Це те, чим скористалися хакери, і ці типи атак можуть призвести до несанкціонованого запуску коду або збоїв системи.	
193	Пасхальне яйце	Easter Egg	це прихований код у комп'ютерному забезпеченні, який виконує щось, що не є частиною його нормальної роботи. Іноді це офіційно включено постачальником, але іноді це заборонено, щоб забезпечити Back Door.	
194	Патч	Patch	це невелике оновлення програмного забезпечення, випущене виробниками для виправлення або покращення програмного забезпечення. Патч може виправляти вразливі місця системи безпеки чи інші помилки або покращувати програмне забезпечення з точки зору функцій, зручності використання та продуктивності.	
195	Перегляд мережі	Network Browsing	це метод, який використовує програмне забезпечення для моніторингу та аналізу мережевого трафіку. Це можна законно використовувати для виявлення проблем і підтримки ефективного потоку даних. Але його також можна використовувати зловмисно, щоб отримати дані, які передаються через мережу.	
196	Персональний брандмауер	Personal Firewall	це тип брандмауера, який встановлюється та працює на персональних комп'ютерах.	
197	Персональний ідентифікований номер	Personal Identificartion Number (PIN)	це пароль, що складається лише з цифр, який зазвичай використовується для автентифікації для користувачів кредитних і дебетових карток і який відомий лише особі, якій довірено об'єкт, що захищається.	
198	Печиво	Cookies	це невеликий текстовий файл, який розміщується на вашому комп'ютері, коли ви відвідуєте веб-сайт. Цей файл cookie дозволяє веб-сайту відстежувати деталі вашого відвідування та зберігати ваші налаштування. Ці файли cookie були розроблені, щоб бути корисними та збільшити швидкість вебсайту під час наступного доступу до цього місця. У той же час вони дуже корисні для рекламодавців, які можуть зіставляти рекламу з вашими інтересами після перегляду вашої історії веб-перегляду. Зазвичай файли cookie та тимчасові файли можуть впливати на вашу конфіденційність, оскільки вони розкривають ваші звички в Інтернеті, але можна змінити параметри веб-браузера та встановити обмеження.	
199	Перехід після відмови	Failover	там, де є системи, налаштовані в режимі високої доступності, перемикання з активного елемента на резервний відбувається під час відмови.	
200	Підозрілі файли та поведінка	Suspicious files and behaviour	визначається, коли файли демонструють незвичайну поведінку. Наприклад, якщо файли починають самостійно копіюватись до системної папки, це може означати, що ці файли скомпрометовано зловмисним програмним забезпеченням. Традиційні антивірусні рішення включають цей тип виявлення для виявлення та блокування шкідливих програм.	
201	Підроблені шкідливі антивірусні програми	Fake antivirus malware	це форма комп'ютерного шкідливого програмного забезпечення, яке імітує зараження системи, яке потрібно видалити. У користувачів просять гроші в обмін на видалення шкідливих програм, але це не що інше, як форма програм-вимагачів.	
202	Підпис нападу	Attack signature	це унікальна частина інформації, яка використовується для ідентифікації конкретної кібератаки, спрямованої на використання відомої комп'ютерної системи або вразливості програмного забезпечення. Сигнатури атак включають певні шляхи, якими користуються кіберзлочинці у своїх зловмисних спробах компрометації. Ці шляхи можуть визначати певну частину шкідливого програмного забезпечення або цілий клас шкідливого програмного забезпечення.	
203	Підшивка файлів	File binder	це програми, які використовуються онлайн-злочинцями для об'єднання кількох файлів в один виконуваний файл, який можна використовувати для атак зловмисного програмного забезпечення.	
204	План аварійного відновлення	Disaster Recovery Plan (DRP)	це набір процедур, спрямованих на захист або обмеження потенційних втрат у бізнес-ІТ-інфраструктурі у разі онлайн-атаки або значного збою апаратного чи програмного забезпечення. У процесі аналізу впливу на бізнес слід розробити план відновлення.	
205	Повеликс	Poweliks	це троян, призначений для шахрайства кліків на ураженому ПК. Його специфічний характер надає той факт, що це тип безфайлового зловмисного програмного забезпечення, через що його дуже важко виявити традиційними антивірусними та антивірусними рішеннями на основі сигнатур. Poweliks встановлюється в реєстрі Windows, де може вставлятися в основні функції Windows. Це також допомагає Poweliks досягти стійкості на зараженому ПК. Це зловмисне програмне забезпечення також може використовуватися для завантаження інших загроз на комп'ютер жертви, наприклад програм-вимагачів, доставлених через шкідливу рекламу.	
206	Повторні атаки	Replay attacks	це тип атаки, який використовує дані автентифікації, які раніше забрали кіберзлочинці, для повторної передачі цієї конфіденційної інформації. Метою є отримання несанкціонованого доступу або створення інших зловмисних ефектів.	
207	Поліморфний пакувальник	Polymorphic packer	це програмний інструмент, який використовується для об'єднання різних типів шкідливих програм в один пакет (наприклад, у вкладенні електронної пошти). Зловмисники використовують поліморфні пакувальники, оскільки вони здатні трансформуватися з часом, тому вони можуть залишатися непоміченими традиційними рішеннями безпеки протягом довшого періоду часу.	
208	Поліморфні шкідливі програми	Polymorphic malware	здатне перетворюватися на різні похідні версії, які виконують ту саму функцію та мають ту саму мету. Використовуючи заплутаний код і постійно змінюючи свій код, поліморфні штами зловмисного програмного забезпечення можуть інфікувати інформаційні системи, не виявляючи таких рішень, як традиційне шкідливе програмне забезпечення, яке є ключовим активом з точки зору кіберзлочинців.	
209	Поліморфний двигун	Polymorphic engine	використовується для створення поліморфного шкідливого програмного забезпечення. Це комп'ютерна програма, здатна перетворювати програму в похідні версії (різні версії коду), але які виконують однакову функцію. Для роботи поліморфні механізми покладаються на шифрування та обфускацію, і використовуються майже виключно розробниками шкідливих програм та іншими кіберзлочинцями. Використовуючи механізм цього типу, зловмисники можуть створювати типи шкідливих програм, які не можуть бути виявлені антивірусними механізмами або мають дуже низький рівень виявлення.	
210	Поліморфний код	Polymorphic code	здатний видозмінюватися і змінюватися, зберігаючи вихідний алгоритм. Під час кожного запуску код змінюється, але зберігає свою функцію. Цю тактику зазвичай використовують розробники зловмисного програмного забезпечення, щоб зберегти свої атаки прихованими та непоміченими реактивними рішеннями безпеки.	
211	Політика інформаційної безпеки	Information Security Policy	це директиви, нормативні акти, правила та практики, обов'язкові для будь-якої компанії і які визначають, як організація має керувати, захищати та поширювати інформацію.	
212	Помірний вплив	Moderate Impact	коли цей тип впливу оцінюється або спостерігається в інформаційній системі, це означає, що конфіденційність, цілісність або доступність зазнали значного удару. Організація може зафіксувати майже непрацюючі основні функції та значну шкоду своїм активам, фінансам та особам.	
213	Помилка	Bug	це недолік програмного забезпечення, який призводить до неочікуваного результату, який може вплинути на продуктивність системи. Зазвичай помилка може спричинити збій або зависання системи. Основна проблема безпеки, яка може виникнути, полягає в тому, що помилки дозволяють хакерам обходити привілеї доступу або отримувати конфіденційні дані з мережі.	
214	Попередження	Alert	це повідомлення від систем безпеки про те, що хтось намагається проникнути (або, можливо, вже зробив це).	
215	Потенційний вплив	Potential Impact	коли оцінюється ризик кібербезпеки, враховується втрата 3 основних факторів: конфіденційності, цілісності та доступності. Якщо ризик стає кібератакою, він може мати низький, помірний або сильний вплив.	
216	Потенційно небажана програма	Potentially unwanted application (PUA)	це програма, яку ви можете встановити на своїх пристроях, яка містить рекламне ПЗ, яка може встановлювати панелі інструментів або мати незрозумілі цілі. Такі програми можуть бути нешкідливими за своєю природою, але вони потенційно можуть стати зловмисними. Користувачі повинні серйозно розглянути ризики, перш ніж встановлювати цей тип програм.	
217	Прибирання сміття	Scavenging	це спроба знайти конфіденційні дані шляхом пошуку в залишках даних системи.	
218	Програми-вимагачі	Ransomware	це різновид шкідливого програмного забезпечення, яке шифрує всі дані на ПК чи мобільному пристрої, блокуючи доступ до них власника даних. Після зараження жертва отримує повідомлення, у якому повідомляється, що для отримання ключа розшифровки необхідно сплатити певну суму грошей (зазвичай у біткойнах). Зазвичай існує також обмеження за часом для виплати викупу. Немає гарантії, що якщо жертва заплатить викуп, вона отримає ключ розшифровки. Найнадійнішим рішенням є резервне копіювання даних принаймні в 3 різних місцях (для резервування) і постійно оновлювати ці резервні копії, щоб не втратити важливий прогрес.	
219	Програма фільтрації спаму	Spam filtering software	це тип програми, яка може аналізувати електронні листи та інші типи повідомлень (тобто миттєві повідомлення), щоб відсіяти спам. Якщо програмне забезпечення для фільтрації спаму вирішить класифікувати повідомлення як спам, воно, ймовірно, перемістить його до спеціальної папки.	
220	Проксі-сервер	Proxy server	це посередник між комп'ютером і Інтернетом. Проксі-сервери використовуються для підвищення кібербезпеки, оскільки вони запобігають безпосередньому вторгненню зловмисників у комп'ютер/приватну мережу.	
221	Проникнення	Penetration	відбувається, коли зловмисникові вдається обійти захист системи та отримати конфіденційні дані з цієї системи.	
222	Простий текст	Plaintext	це звичайний текст перед його шифруванням або після розшифрування. Коли хтось каже, що ваші паролі зберігаються у вигляді відкритого тексту, це означає, що їх може прочитати будь-хто, хто проникне у вашу особисту інформацію, оскільки паролі не зашифровані. Це великий недолік у кібербезпеці, тож стежте за цим.	
223	Протокол	Protocol	це визначений і узгоджений спосіб взаємодії двох систем, з точки зору комп'ютера.	
224	Прошивка	FirmWare	це програмне забезпечення низького рівня в комп'ютері або мережевому пристрої, яке керує основною роботою. Оновлення мікропрограми зазвичай означає простой, тому це частина системи, яка рідко оновлюється, доки щось не піде не так через помилку в ній.	
225	Реакція в реальному часі	Real-time reaction	це тип негайної реакції та реакції на помічену спробу компромісу. Це робиться вчасно, щоб жертва змогла забезпечити захист від несанкціонованого доступу до мережі.	
226	Резервне копіювання	Backup	це точна копія ваших файлів, системних файлів або будь-яких інших системних ресурсів, які потрібно захистити. Цей запобіжний захід необхідний для всіх типів непередбачуваних подій, як-от збій системи або коли ви видаляєте чи втрачаєте ці файли. Резервне копіювання має бути незалежним від вашої системи та використовуватися лише за необхідності. Бувають також випадки, коли система або ці файли заражаються, або коли систему заблоковано програмою-вимагачем, і їх потрібно відновити.	
227	Рекламне програмне забезпечення	Adware	це тип програмного забезпечення, яке показує рекламу у вашій системі. Зазвичай ці спливаючі вікна з'являються під час відвідування сайтів, наприклад надокучливі спливаючі вікна чи банери. Вони поставляються в комплекті з іншими програмами. Більшість типів рекламного програмного забезпечення не є небезпечним, можливо, трохи дратує, оскільки вони відображають спливаючу рекламу під час відвідування веб-сайту, але є інша небезпечна форма рекламного програмного забезпечення, яке розміщує шпигунське програмне забезпечення, яке може відстежувати вашу діяльність і отримувати конфіденційну інформацію. З цієї причини користувачі не повинні завантажувати програми з небезпечних веб-сайтів і звертати увагу на програмне забезпечення, яке постачається в комплекті. Менш серйозними проблемами, спричиненими рекламним ПЗ, можуть бути проблеми з уповільненням роботи або надто велика кількість дратівливих спливаючих вікон, які можуть заповнювати екран комп'ютера. Не кажучи вже про проблеми стабільності, які можуть вплинути на вашу систему. Щоб видалити шкідливе рекламне або шпигунське програмне забезпечення із системи, перевірте онлайн наявність спеціалізованих інструментів, таких як Malwarebytes або Spybot.	
228	Підроблене програмне забезпечення безпеки	Rogue security software	це поширене інтернет-шахрайство, яке використовують кіберзлочинці, щоб ввести жертв в оману та заразити їхні комп'ютери шкідливим програмним забезпеченням. Зловмисники також можуть використовувати фальшивий антивірус, щоб обманом змусити жертв заплатити гроші або вимагати від них (як це робить програма-вимагач) платити за видалення шахрайського програмного забезпечення. Тому, будь ласка, купуйте програмне забезпечення безпеки лише від перевірених постачальників або від самих виробників програмного забезпечення.	
229	Рекламне програмне забезпечення Typehoid	Typehoid Adware	це загроза кібербезпеці, яка використовує атаку Man-in-the-middle для розміщення реклами на певних веб-сторінках, які користувач відвідує під час використання загальнодоступної мережі, наприклад загальнодоступної незашифрованої точки доступу WiFi. У цьому випадку комп'ютер, який використовується, не повинен мати на ньому рекламне програмне забезпечення, тому встановлення традиційного антивірусу не може протидіяти загрозі. Хоча самі оголошення можуть бути нешкідливими, вони можуть наражати користувачів на інші загрози. Наприклад, реклама може рекламувати фальшивий антивірус, який насправді є шкідливим програмним забезпеченням, або фішингову атаку.	
230	Ресурс даних	Data Asset	це частина інформації, яка містить цінні записи. Це може бути база даних, документ або будь-який тип інформації, якою керують як єдиним цілим. Як і будь-який актив, залучена інформація містить фінансову цінність, яка безпосередньо пов'язана з кількістю людей, які мають доступ до цих даних, і з цієї причини вона потребує відповідного захисту.	
231	Ризик інформаційної безпеки	Information Security Risk	ризик у цій категорії можна оцінити відповідно до того, як і наскільки він загрожує діяльності компанії (включно з місією, функціями, брендом, репутацією) або активам, співробітникам, партнерам тощо. Ризик базується на потенціалі для кіберзлочинців отримати несанкціонований доступ отримувати доступ і використовувати їх для збору конфіденційних даних, розголошувати їх громадськості або неавторизованим сторонам, змінювати їх або знищувати, таким чином порушуючи діяльність організації.	
